pokemon_id,name,descripction,hp,attack,defense,special-attack,special-defense,speed,img
31,nidoqueen,La altura del pokemon 1.3 m y su peso es 60.0 kg,90,92,87,75,85,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,nidoran-m,La altura del pokemon 0.5 m y su peso es 9.0 kg,46,57,40,40,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,nidorino,La altura del pokemon 0.9 m y su peso es 19.5 kg,61,72,57,55,55,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,nidoking,La altura del pokemon 1.4 m y su peso es 62.0 kg,81,102,77,85,75,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,clefairy,La altura del pokemon 0.6 m y su peso es 7.5 kg,70,45,48,60,65,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,La altura del pokemon 1.3 m y su peso es 40.0 kg,95,70,73,95,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,vulpix,La altura del pokemon 0.6 m y su peso es 9.9 kg,38,41,40,50,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,La altura del pokemon 1.1 m y su peso es 19.9 kg,73,76,75,81,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,jigglypuff,La altura del pokemon 0.5 m y su peso es 5.5 kg,115,45,20,45,25,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,wigglytuff,La altura del pokemon 1.0 m y su peso es 12.0 kg,140,70,45,85,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,zubat,La altura del pokemon 0.8 m y su peso es 7.5 kg,40,45,35,30,40,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,golbat,La altura del pokemon 1.6 m y su peso es 55.0 kg,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,oddish,La altura del pokemon 0.5 m y su peso es 5.4 kg,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,gloom,La altura del pokemon 0.8 m y su peso es 8.6 kg,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,vileplume,La altura del pokemon 1.2 m y su peso es 18.6 kg,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,paras,La altura del pokemon 0.3 m y su peso es 5.4 kg,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,parasect,La altura del pokemon 1.0 m y su peso es 29.5 kg,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,venonat,La altura del pokemon 1.0 m y su peso es 30.0 kg,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,venomoth,La altura del pokemon 1.5 m y su peso es 12.5 kg,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,diglett,La altura del pokemon 0.2 m y su peso es 0.8 kg,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,dugtrio,La altura del pokemon 0.7 m y su peso es 33.3 kg,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,meowth,La altura del pokemon 0.4 m y su peso es 4.2 kg,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,persian,La altura del pokemon 1.0 m y su peso es 32.0 kg,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,psyduck,La altura del pokemon 0.8 m y su peso es 19.6 kg,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,golduck,La altura del pokemon 1.7 m y su peso es 76.6 kg,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,mankey,La altura del pokemon 0.5 m y su peso es 28.0 kg,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,primeape,La altura del pokemon 1.0 m y su peso es 32.0 kg,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,growlithe,La altura del pokemon 0.7 m y su peso es 19.0 kg,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,arcanine,La altura del pokemon 1.9 m y su peso es 155.0 kg,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,poliwag,La altura del pokemon 0.6 m y su peso es 12.4 kg,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,poliwhirl,La altura del pokemon 1.0 m y su peso es 20.0 kg,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,poliwrath,La altura del pokemon 1.3 m y su peso es 54.0 kg,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,abra,La altura del pokemon 0.9 m y su peso es 19.5 kg,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,kadabra,La altura del pokemon 1.3 m y su peso es 56.5 kg,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,alakazam,La altura del pokemon 1.5 m y su peso es 48.0 kg,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,machop,La altura del pokemon 0.8 m y su peso es 19.5 kg,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,machoke,La altura del pokemon 1.5 m y su peso es 70.5 kg,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,machamp,La altura del pokemon 1.6 m y su peso es 130.0 kg,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,bellsprout,La altura del pokemon 0.7 m y su peso es 4.0 kg,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,weepinbell,La altura del pokemon 1.0 m y su peso es 6.4 kg,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,victreebel,La altura del pokemon 1.7 m y su peso es 15.5 kg,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,tentacool,La altura del pokemon 0.9 m y su peso es 45.5 kg,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,tentacruel,La altura del pokemon 1.6 m y su peso es 55.0 kg,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,geodude,La altura del pokemon 0.4 m y su peso es 20.0 kg,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,graveler,La altura del pokemon 1.0 m y su peso es 105.0 kg,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,golem,La altura del pokemon 1.4 m y su peso es 300.0 kg,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ponyta,La altura del pokemon 1.0 m y su peso es 30.0 kg,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,rapidash,La altura del pokemon 1.7 m y su peso es 95.0 kg,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,slowpoke,La altura del pokemon 1.2 m y su peso es 36.0 kg,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,slowbro,La altura del pokemon 1.6 m y su peso es 78.5 kg,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,magnemite,La altura del pokemon 0.3 m y su peso es 6.0 kg,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,magneton,La altura del pokemon 1.0 m y su peso es 60.0 kg,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,farfetchd,La altura del pokemon 0.8 m y su peso es 15.0 kg,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,doduo,La altura del pokemon 1.4 m y su peso es 39.2 kg,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,dodrio,La altura del pokemon 1.8 m y su peso es 85.2 kg,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,seel,La altura del pokemon 1.1 m y su peso es 90.0 kg,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,dewgong,La altura del pokemon 1.7 m y su peso es 120.0 kg,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,grimer,La altura del pokemon 0.9 m y su peso es 30.0 kg,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,muk,La altura del pokemon 1.2 m y su peso es 30.0 kg,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,shellder,La altura del pokemon 0.3 m y su peso es 4.0 kg,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,cloyster,La altura del pokemon 1.5 m y su peso es 132.5 kg,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,gastly,La altura del pokemon 1.3 m y su peso es 0.1 kg,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,haunter,La altura del pokemon 1.6 m y su peso es 0.1 kg,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,gengar,La altura del pokemon 1.5 m y su peso es 40.5 kg,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,onix,La altura del pokemon 8.8 m y su peso es 210.0 kg,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,drowzee,La altura del pokemon 1.0 m y su peso es 32.4 kg,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,hypno,La altura del pokemon 1.6 m y su peso es 75.6 kg,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,krabby,La altura del pokemon 0.4 m y su peso es 6.5 kg,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,kingler,La altura del pokemon 1.3 m y su peso es 60.0 kg,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,voltorb,La altura del pokemon 0.5 m y su peso es 10.4 kg,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,electrode,La altura del pokemon 1.2 m y su peso es 66.6 kg,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,exeggcute,La altura del pokemon 0.4 m y su peso es 2.5 kg,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,exeggutor,La altura del pokemon 2.0 m y su peso es 120.0 kg,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,cubone,La altura del pokemon 0.4 m y su peso es 6.5 kg,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,marowak,La altura del pokemon 1.0 m y su peso es 45.0 kg,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,hitmonlee,La altura del pokemon 1.5 m y su peso es 49.8 kg,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,hitmonchan,La altura del pokemon 1.4 m y su peso es 50.2 kg,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,lickitung,La altura del pokemon 1.2 m y su peso es 65.5 kg,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,koffing,La altura del pokemon 0.6 m y su peso es 1.0 kg,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,weezing,La altura del pokemon 1.2 m y su peso es 9.5 kg,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,rhyhorn,La altura del pokemon 1.0 m y su peso es 115.0 kg,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,rhydon,La altura del pokemon 1.9 m y su peso es 120.0 kg,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,chansey,La altura del pokemon 1.1 m y su peso es 34.6 kg,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,tangela,La altura del pokemon 1.0 m y su peso es 35.0 kg,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,kangaskhan,La altura del pokemon 2.2 m y su peso es 80.0 kg,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
116,horsea,La altura del pokemon 0.4 m y su peso es 8.0 kg,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,seadra,La altura del pokemon 1.2 m y su peso es 25.0 kg,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,goldeen,La altura del pokemon 0.6 m y su peso es 15.0 kg,45,67,60,35,50,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,seaking,La altura del pokemon 1.3 m y su peso es 39.0 kg,80,92,65,65,80,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
120,staryu,La altura del pokemon 0.8 m y su peso es 34.5 kg,30,45,55,70,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png
121,starmie,La altura del pokemon 1.1 m y su peso es 80.0 kg,60,75,85,100,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png
122,mr-mime,La altura del pokemon 1.3 m y su peso es 54.5 kg,40,45,65,100,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png
123,scyther,La altura del pokemon 1.5 m y su peso es 56.0 kg,70,110,80,55,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png
124,jynx,La altura del pokemon 1.4 m y su peso es 40.6 kg,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
125,electabuzz,La altura del pokemon 1.1 m y su peso es 30.0 kg,65,83,57,95,85,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png
126,magmar,La altura del pokemon 1.3 m y su peso es 44.5 kg,65,95,57,100,85,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
127,pinsir,La altura del pokemon 1.5 m y su peso es 55.0 kg,65,125,100,55,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png
128,tauros,La altura del pokemon 1.4 m y su peso es 88.4 kg,75,100,95,40,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png
129,magikarp,La altura del pokemon 0.9 m y su peso es 10.0 kg,20,10,55,15,20,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png
130,gyarados,La altura del pokemon 6.5 m y su peso es 235.0 kg,95,125,79,60,100,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png
131,lapras,La altura del pokemon 2.5 m y su peso es 220.0 kg,130,85,80,85,95,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png
132,ditto,La altura del pokemon 0.3 m y su peso es 4.0 kg,48,48,48,48,48,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png
133,eevee,La altura del pokemon 0.3 m y su peso es 6.5 kg,55,55,50,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png
134,vaporeon,La altura del pokemon 1.0 m y su peso es 29.0 kg,130,65,60,110,95,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png
135,jolteon,La altura del pokemon 0.8 m y su peso es 24.5 kg,65,65,60,110,95,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png
136,flareon,La altura del pokemon 0.9 m y su peso es 25.0 kg,65,130,60,95,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png
137,porygon,La altura del pokemon 0.8 m y su peso es 36.5 kg,65,60,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png
138,omanyte,La altura del pokemon 0.4 m y su peso es 7.5 kg,35,40,100,90,55,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png
139,omastar,La altura del pokemon 1.0 m y su peso es 35.0 kg,70,60,125,115,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png
140,kabuto,La altura del pokemon 0.5 m y su peso es 11.5 kg,30,80,90,55,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png
141,kabutops,La altura del pokemon 1.3 m y su peso es 40.5 kg,60,115,105,65,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png
142,aerodactyl,La altura del pokemon 1.8 m y su peso es 59.0 kg,80,105,65,60,75,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png
143,snorlax,La altura del pokemon 2.1 m y su peso es 460.0 kg,160,110,65,65,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png
144,articuno,La altura del pokemon 1.7 m y su peso es 55.4 kg,90,85,100,95,125,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png
145,zapdos,La altura del pokemon 1.6 m y su peso es 52.6 kg,90,90,85,125,90,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png
146,moltres,La altura del pokemon 2.0 m y su peso es 60.0 kg,90,100,90,125,85,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png
147,dratini,La altura del pokemon 1.8 m y su peso es 3.3 kg,41,64,45,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png
148,dragonair,La altura del pokemon 4.0 m y su peso es 16.5 kg,61,84,65,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png
